T2M,WS10M,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,rain_label
12.48,5.06,36.31,93.11,268.12,30.11,0
13.79,7.58,61.81,92.54,340.84,17.28,0
8.44,8.76,48.81,93.62,267.38,28.7,0
8.7,3.59,49.62,94.17,282.45,27.1,0
13.22,9.23,57.0,93.19,332.77,23.11,0
10.4,6.52,89.94,92.14,351.64,4.01,0
11.48,4.93,72.0,92.83,348.64,16.25,0
6.76,6.27,83.69,92.85,337.58,6.4,0
9.92,4.46,61.12,93.51,283.88,29.35,0
13.83,3.03,53.06,93.94,307.16,27.05,0
13.85,3.66,73.25,93.62,348.84,18.63,0
13.08,2.57,84.56,93.47,362.94,7.49,0
14.47,2.35,73.0,93.63,317.23,27.91,0
15.43,6.0,74.69,93.11,353.93,21.45,0
11.52,7.23,88.56,92.6,351.25,5.0,1
12.94,4.08,80.75,92.82,344.24,8.61,0
17.67,5.41,73.0,92.76,331.3,28.79,0
25.12,11.09,64.62,91.67,383.52,28.98,0
21.8,5.62,65.25,92.31,382.4,26.26,0
21.26,9.2,75.12,92.39,387.12,18.71,0
16.65,5.16,65.25,93.27,350.96,20.95,0
19.99,3.14,79.75,93.48,348.28,27.82,0
22.57,6.27,71.75,93.34,365.2,24.17,0
24.56,7.3,66.44,92.95,364.31,30.02,0
24.95,8.48,64.19,92.42,369.01,29.82,0
17.96,6.09,61.25,93.12,327.46,28.84,0
19.42,3.2,61.44,93.11,326.6,30.14,0
23.52,4.69,69.06,92.41,376.91,25.19,0
19.44,4.62,70.75,92.78,357.94,25.67,0
22.86,5.8,63.12,92.48,372.13,25.34,0
25.71,2.53,60.94,92.3,387.38,25.47,0
24.65,5.2,58.81,92.62,377.23,26.93,0
21.55,3.32,63.25,93.45,381.84,20.69,0
23.47,6.95,76.0,92.77,398.57,17.12,1
